Title,Abstract,Cleaned Abstract,DIM_1,DIM_2,Clusters,Cluster Keywords,Cluster Titles
Fundamental requirements of a machine learning operations platform for industrial metal additive manufacturing,"AbstractMetal-based Additive Manufacturing (AM) can realize fully dense metallic components and thus offers an opportunity to compete with conventional manufacturing based on the unique merits possible through layer-by-layer processing. Unsurprisingly, Machine Learning (ML) applications in AM technologies have been increasingly growing in the past several years. The trend is driven by the ability of data-driven techniques to support a range of AM concerns, including in-process monitoring and predictions. However, despite numerous ML applications being reported for different AM concerns, no framework exists to systematically manage these ML models for AM operations in the industry. Moreover, no guidance exists on fundamental requirements to realize such a cross-disciplinary platform. Working with experts in ML and AM, this work identifies the fundamental requirements to realize a Machine Learning Operations (MLOps) platform to support process-based ML models for industrial metal AM (MAM). Project-level activities are identified in terms of functional roles, processes, systems, operations, and interfaces. These components are discussed in detail and are linked with their respective requirements. In this regard, peer-reviewed references to identified requirements are made available. The requirements identified can help guide small and medium enterprises looking to implement ML solutions for AM in the industry. Challenges and opportunities for such a system are highlighted. The system can be expanded to include other lifecycle phases of metallic and non-metallic AM.Highlights •Connecting the status of ML-driven AM research and applications to the development of a platform for industrial deployment.•Identifying AM and ML requirements to develop an MLOps platform for industry.•Detailing functional roles, processes, systems, operations, and interfaces as fundamental components of the MLOps platform.•Bridging the knowledge gap and expertise between the domains of AM and ML to realize the cross-discipline platform.•Referencing peer-reviewed AM and ML research in support of the identified requirements.",abstractmetal based additive manufacturing  am  can realize fully dense metallic components and thus offers an opportunity to compete with conventional manufacturing based on the unique merits possible through layer by layer processing  unsurprisingly  machine learning  ml  applications in am technologies have been increasingly growing in the past several years  the trend is driven by the ability of data driven techniques to support a range of am concerns  including in process monitoring and predictions  however  despite numerous ml applications being reported for different am concerns  no framework exists to systematically manage these ml models for am operations in the industry  moreover  no guidance exists on fundamental requirements to realize such a cross disciplinary platform  working with experts in ml and am  this work identifies the fundamental requirements to realize a machine learning operations  mlops  platform to support process based ml models for industrial metal am  mam   project level activities are identified in terms of functional roles  processes  systems  operations  and interfaces  these components are discussed in detail and are linked with their respective requirements  in this regard  peer reviewed references to identified requirements are made available  the requirements identified can help guide small and medium enterprises looking to implement ml solutions for am in the industry  challenges and opportunities for such a system are highlighted  the system can be expanded to include other lifecycle phases of metallic and non metallic am highlights  connecting the status of ml driven am research and applications to the development of a platform for industrial deployment  identifying am and ml requirements to develop an mlops platform for industry  detailing functional roles  processes  systems  operations  and interfaces as fundamental components of the mlops platform  bridging the knowledge gap and expertise between the domains of am and ml to realize the cross discipline platform  referencing peer reviewed am and ml research in support of the identified requirements ,8.913391,4.7388005,3,MLOps - Industry 4.0 - Machine Learning Operations - Continuous Deployment - AI in Manufacturing - Adoption Challenges,Challenges and Applications of MLOps in Industry
LinkEdge: Open-sourced MLOps Integration with IoT Edge,"MLOps, or Machine Learning Operations, play a significant role in streamlining production deployment, monitoring, and management of machine learning models. Integrating MLOps with edge devices poses unique challenges that require customised deployment strategies and efficient model optimisation techniques. This paper introduces LinkEdge, a set of tools that enable the integration of MLOps practices with edge devices. LinkEdge consists of two sets of tools: one for setting up infrastructure within edge devices to be able to receive, monitor, and run inference on ML models and another for MLOps pipelines to package models to be compatible with the inference and monitoring components of the respective edge devices. The LinkEdge platform is evaluated by obtaining a public dataset for predicting the breakdown of Air Pressure Systems in trucks. Additionally, the platform is compared against a commercial tool that serves similar purposes. The overall performance of LinkEdge matches that of already existing tools and services while allowing end users setting up Edge-MLOps infrastructure the complete freedom to set up their system without entirely relying on third-party licensed software.",mlops  or machine learning operations  play a significant role in streamlining production deployment  monitoring  and management of machine learning models  integrating mlops with edge devices poses unique challenges that require customised deployment strategies and efficient model optimisation techniques  this paper introduces linkedge  a set of tools that enable the integration of mlops practices with edge devices  linkedge consists of two sets of tools  one for setting up infrastructure within edge devices to be able to receive  monitor  and run inference on ml models and another for mlops pipelines to package models to be compatible with the inference and monitoring components of the respective edge devices  the linkedge platform is evaluated by obtaining a public dataset for predicting the breakdown of air pressure systems in trucks  additionally  the platform is compared against a commercial tool that serves similar purposes  the overall performance of linkedge matches that of already existing tools and services while allowing end users setting up edge mlops infrastructure the complete freedom to set up their system without entirely relying on third party licensed software ,7.616082,6.693407,1,MLOps - Scalability - Continuous Deployment - AI Monitoring - Edge Computing - Operationalization,"MLOps for Scalable, Real-Time Production Systems"
MLOps Automation – Developing a RESTful API for Text Based Emotion Detection,"Identifying the emotional state of a person or group of people by analyzing their written works often appears to be challenging but also important. In many situations, we see that emotions from textual expressions cannot be detected directly using emotional words alone but also results from the evaluation of the conceptual meaning and interactions which are expressed in a written article. A person's emotion may be revealed by their facial expression, speech, or text. In todays’ world we have seen that efforts have been made in identifying emotion from speech and facial expressions, but the aspect of text-based emotion detection is still lagging. The detection of human emotions from text is becoming progressively important from an applicative perspective. The paper proposed an algorithm for detecting emotions from text using logistic regression. The authors have developed a RESTful API to serve as a mediator between a client device and the trained model by adopting the principles of Machine Learning Operations (MLOps).",identifying the emotional state of a person or group of people by analyzing their written works often appears to be challenging but also important  in many situations  we see that emotions from textual expressions cannot be detected directly using emotional words alone but also results from the evaluation of the conceptual meaning and interactions which are expressed in a written article  a person s emotion may be revealed by their facial expression  speech  or text  in todays  world we have seen that efforts have been made in identifying emotion from speech and facial expressions  but the aspect of text based emotion detection is still lagging  the detection of human emotions from text is becoming progressively important from an applicative perspective  the paper proposed an algorithm for detecting emotions from text using logistic regression  the authors have developed a restful api to serve as a mediator between a client device and the trained model by adopting the principles of machine learning operations  mlops  ,7.215679,5.6643586,1,MLOps - Scalability - Continuous Deployment - AI Monitoring - Edge Computing - Operationalization,"MLOps for Scalable, Real-Time Production Systems"
MLOps: five steps to guide its effective implementation,"DevOps practices have increasingly been applied to software development and engineering, as well as the machine learning lifecycle - in a process also known as MLOps. Today, many companies and professionals have been working and writing on this topic. However, in the academic and scientific literature, few results can be found on MLOps and how to implement it efficiently. This paper presents five essential steps to guide the understanding and practice of MLOps, which, based on the authors' research and experience, can assist in its effective implementation. The study aims to serve as a reference guide for all those who wish to learn more about the topic and intend to implement MLOps practices in the development of their systems.",devops practices have increasingly been applied to software development and engineering  as well as the machine learning lifecycle   in a process also known as mlops  today  many companies and professionals have been working and writing on this topic  however  in the academic and scientific literature  few results can be found on mlops and how to implement it efficiently  this paper presents five essential steps to guide the understanding and practice of mlops  which  based on the authors  research and experience  can assist in its effective implementation  the study aims to serve as a reference guide for all those who wish to learn more about the topic and intend to implement mlops practices in the development of their systems ,8.489512,5.164794,3,MLOps - Industry 4.0 - Machine Learning Operations - Continuous Deployment - AI in Manufacturing - Adoption Challenges,Challenges and Applications of MLOps in Industry
MLOps Challenges in Industry 4.0,"AbstractAn important part of the Industry 4.0 vision is the use of machine learning (ML) techniques to create novel capabilities and flexibility in industrial production processes. Currently, there is a strong emphasis on MLOps as an enabling collection of practices, techniques, and tools to integrate ML into industrial practice. However, while MLOps is often discussed in the context of pure software systems, Industry 4.0 systems received much less attention. So far, there is only little research focusing on MLOps for Industry 4.0. In this paper, we discuss whether MLOps in Industry 4.0 leads to significantly different challenges compared to typical Internet systems. We provide an initial analysis of MLOps approaches and identify both context-independent MLOps challenges (general challenges) as well as challenges particular to Industry 4.0 (specific challenges) and conclude that MLOps works very similarly in Industry 4.0 systems to pure software systems. This indicates that existing tools and approaches are also mostly suited for the Industry 4.0 context.",abstractan important part of the industry     vision is the use of machine learning  ml  techniques to create novel capabilities and flexibility in industrial production processes  currently  there is a strong emphasis on mlops as an enabling collection of practices  techniques  and tools to integrate ml into industrial practice  however  while mlops is often discussed in the context of pure software systems  industry     systems received much less attention  so far  there is only little research focusing on mlops for industry      in this paper  we discuss whether mlops in industry     leads to significantly different challenges compared to typical internet systems  we provide an initial analysis of mlops approaches and identify both context independent mlops challenges  general challenges  as well as challenges particular to industry      specific challenges  and conclude that mlops works very similarly in industry     systems to pure software systems  this indicates that existing tools and approaches are also mostly suited for the industry     context ,10.179603,4.168892,3,MLOps - Industry 4.0 - Machine Learning Operations - Continuous Deployment - AI in Manufacturing - Adoption Challenges,Challenges and Applications of MLOps in Industry
MLOps Pipeline Development: The OSSARA Use Case,"Software development based on MLOps practices is entering its early adoption stage. As for it, practitioners and researchers are starting to develop pipelines composed of tools capable of automating the whole software lifecycle. The development of the pipeline however is not as straightforward as it looks and some key points need to be addressed. In this work, we propose our vision for the development of the MLOps pipeline by showing what to keep into account when choosing the tools for each step of a pipeline. The proposition has been backed up by describing a developed use case scenario: the OSSARA use case. We believe that the presented use case, as well as the remarks presented for the process of tool selection for each MLOps phase, will help practitioners and researchers in the process of developing their own pipelines.",software development based on mlops practices is entering its early adoption stage  as for it  practitioners and researchers are starting to develop pipelines composed of tools capable of automating the whole software lifecycle  the development of the pipeline however is not as straightforward as it looks and some key points need to be addressed  in this work  we propose our vision for the development of the mlops pipeline by showing what to keep into account when choosing the tools for each step of a pipeline  the proposition has been backed up by describing a developed use case scenario  the ossara use case  we believe that the presented use case  as well as the remarks presented for the process of tool selection for each mlops phase  will help practitioners and researchers in the process of developing their own pipelines ,9.210491,5.589207,2,MLOps - Ethical AI - Machine Learning Lifecycle - Model Deployment - AI Governance - Data Science Automation - Agile Methodologies,Comprehensive MLOps and Responsible AI Practices
MLOps: a guide to its adoption in the context of responsible AI,"DevOps practices have increasingly been applied to software development as well as the machine learning lifecycle, in a process known as MLOps. Currently, many professionals have written about this topic, but still few results can be found in the academic and scientific literature on MLOps and how to to implement it effectively. Considering aspects of responsible AI, this number is even lower, opening up a field of research with many possibilities. This article presents five steps to guide the understanding and adoption of MLOps in the context of responsible AI. The study aims to serve as a reference guide for all those who wish to learn more about the topic and intend to implement MLOps practices to develop their systems, following responsible AI principles.",devops practices have increasingly been applied to software development as well as the machine learning lifecycle  in a process known as mlops  currently  many professionals have written about this topic  but still few results can be found in the academic and scientific literature on mlops and how to to implement it effectively  considering aspects of responsible ai  this number is even lower  opening up a field of research with many possibilities  this article presents five steps to guide the understanding and adoption of mlops in the context of responsible ai  the study aims to serve as a reference guide for all those who wish to learn more about the topic and intend to implement mlops practices to develop their systems  following responsible ai principles ,8.907647,5.139412,2,MLOps - Ethical AI - Machine Learning Lifecycle - Model Deployment - AI Governance - Data Science Automation - Agile Methodologies,Comprehensive MLOps and Responsible AI Practices
MLOps in freight rail operations,"AbstractRailways are essential for freight transport due to their operational reliability advantages, but maintaining this advantage requires optimised railway infrastructure. Previous research has developed models to predict freight rail disruptions/disturbances and their associated delay times, in order to better understand the impact of multiple factors on them. However, because these models are built on static datasets, extracting real value from a model in a production environment remains difficult.This paper presents a methodology that demonstrates the potential of MLOps in automating the entire workflow, from data extraction to model deployment for real-time delay predictions in freight rail operations, including good practices of Continuous-Integration, Continuous-Delivery, and Continuous-Training, as well as a tool list for each process.Our research advances the field of railway operations by developing an entire MLOps workflow using data from the freight rail operations of the Luxembourgish National Freight Railway Company over a seventeen-month period. Furthermore, we employed a LightGBM model that had previously performed well in another study. This workflow can be automatically triggered to develop the processes and thus maintain an ML model capable of predicting delay times for CFL Multimodal operations in real-time.Our findings demonstrate that MLOps have the potential to automate the entire process, opening up new avenues for future research in this field. Although the methodology presented is intended to optimise freight rail operations for a specific company, it can be easily transferable to other railway companies or other transportation industries, such as aviation, shipping, and trucking.",abstractrailways are essential for freight transport due to their operational reliability advantages  but maintaining this advantage requires optimised railway infrastructure  previous research has developed models to predict freight rail disruptions disturbances and their associated delay times  in order to better understand the impact of multiple factors on them  however  because these models are built on static datasets  extracting real value from a model in a production environment remains difficult this paper presents a methodology that demonstrates the potential of mlops in automating the entire workflow  from data extraction to model deployment for real time delay predictions in freight rail operations  including good practices of continuous integration  continuous delivery  and continuous training  as well as a tool list for each process our research advances the field of railway operations by developing an entire mlops workflow using data from the freight rail operations of the luxembourgish national freight railway company over a seventeen month period  furthermore  we employed a lightgbm model that had previously performed well in another study  this workflow can be automatically triggered to develop the processes and thus maintain an ml model capable of predicting delay times for cfl multimodal operations in real time our findings demonstrate that mlops have the potential to automate the entire process  opening up new avenues for future research in this field  although the methodology presented is intended to optimise freight rail operations for a specific company  it can be easily transferable to other railway companies or other transportation industries  such as aviation  shipping  and trucking ,10.258245,4.3427095,3,MLOps - Industry 4.0 - Machine Learning Operations - Continuous Deployment - AI in Manufacturing - Adoption Challenges,Challenges and Applications of MLOps in Industry
Applications of MLOps in the Cognitive Cloud Continuum,"AbstractBackground. Since the rise of Machine Learning, the automation of software development has been a desired feature. MLOps is targeted to have the same impact on software development as DevOps had in the last decade.Objectives. The goal of the research is threefold: (RQ1) to analyze which MLOps tools and platforms can be used in the Cognitive Cloud Continuum, (RQ2) to investigate which combination of such tools and platforms is more beneficial, and (RQ3) to define how to distribute MLOps to nodes across the Cognitive Cloud Continuum.Methods. The work can be divided into three main blocks: analysis, proposal and identification, and application. The first part builds the foundations of the work, the second proposes a vision on the evolution of MLOps then identifies the key concepts while the third validates the previous steps through practical applications.Contribution. The thesis’s contribution is a set of MLOps pipelines that practitioners could adopt in different contexts and a practical implementation of an MLOps system in the Cognitive Cloud Continuum.",abstractbackground  since the rise of machine learning  the automation of software development has been a desired feature  mlops is targeted to have the same impact on software development as devops had in the last decade objectives  the goal of the research is threefold   rq   to analyze which mlops tools and platforms can be used in the cognitive cloud continuum   rq   to investigate which combination of such tools and platforms is more beneficial  and  rq   to define how to distribute mlops to nodes across the cognitive cloud continuum methods  the work can be divided into three main blocks  analysis  proposal and identification  and application  the first part builds the foundations of the work  the second proposes a vision on the evolution of mlops then identifies the key concepts while the third validates the previous steps through practical applications contribution  the thesis s contribution is a set of mlops pipelines that practitioners could adopt in different contexts and a practical implementation of an mlops system in the cognitive cloud continuum ,8.804704,4.825488,3,MLOps - Industry 4.0 - Machine Learning Operations - Continuous Deployment - AI in Manufacturing - Adoption Challenges,Challenges and Applications of MLOps in Industry
SensiX++: Bringing MLOps and Multi-tenant Model Serving to Sensory Edge Devices,"We present SensiX++, a multi-tenant runtime for adaptive model execution with integrated MLOps on edge devices, e.g., a camera, a microphone, or IoT sensors. SensiX++ operates on two fundamental principles: highly modular componentisation to externalise data operations with clear abstractions and document-centric manifestation for system-wide orchestration. First, a data coordinator manages the lifecycle of sensors and serves models with correct data through automated transformations. Next, a resource-aware model server executes multiple models in isolation through model abstraction, pipeline automation, and feature sharing. An adaptive scheduler then orchestrates the best-effort executions of multiple models across heterogeneous accelerators, balancing latency and throughput. Finally, microservices with REST APIs serve synthesised model predictions, system statistics, and continuous deployment. Collectively, these components enable SensiX++ to serve multiple models efficiently with fine-grained control on edge devices while minimising data operation redundancy, managing data and device heterogeneity, and reducing resource contention. We benchmark SensiX++ with 10 different vision and acoustics models across various multi-tenant configurations on different edge accelerators (Jetson AGX and Coral TPU) designed for sensory devices. We report on the overall throughput and quantified benefits of various automation components of SensiX++ and demonstrate its efficacy in significantly reducing operational complexity and lowering the effort to deploy, upgrade, reconfigure, and serve embedded models on edge devices.",we present sensix    a multi tenant runtime for adaptive model execution with integrated mlops on edge devices  e g   a camera  a microphone  or iot sensors  sensix   operates on two fundamental principles  highly modular componentisation to externalise data operations with clear abstractions and document centric manifestation for system wide orchestration  first  a data coordinator manages the lifecycle of sensors and serves models with correct data through automated transformations  next  a resource aware model server executes multiple models in isolation through model abstraction  pipeline automation  and feature sharing  an adaptive scheduler then orchestrates the best effort executions of multiple models across heterogeneous accelerators  balancing latency and throughput  finally  microservices with rest apis serve synthesised model predictions  system statistics  and continuous deployment  collectively  these components enable sensix   to serve multiple models efficiently with fine grained control on edge devices while minimising data operation redundancy  managing data and device heterogeneity  and reducing resource contention  we benchmark sensix   with    different vision and acoustics models across various multi tenant configurations on different edge accelerators  jetson agx and coral tpu  designed for sensory devices  we report on the overall throughput and quantified benefits of various automation components of sensix   and demonstrate its efficacy in significantly reducing operational complexity and lowering the effort to deploy  upgrade  reconfigure  and serve embedded models on edge devices ,7.6467457,7.0769014,1,MLOps - Scalability - Continuous Deployment - AI Monitoring - Edge Computing - Operationalization,"MLOps for Scalable, Real-Time Production Systems"
Quantitative Decomposition of Prediction Errors Revealing Multi-Cause Impacts: An Insightful Framework for MLOps,"As machine learning applications expand in various industries, MLOps, which enables continuous model operation and improvement, becomes increasingly significant. Identifying causes of prediction errors, such as low model performance or anomalous samples, and implementing appropriate countermeasures are essential for effective MLOps. Furthermore, quantitatively evaluating each cause's impact is necessary to determine the effectiveness of countermeasures. In this study, we propose a method to quantitatively decompose a single sample's prediction error into contributions from multiple causes. Our method involves four steps: calculating the prediction error, computing metrics related to error causes, using a regression model to learn the relationship between the error and metrics, and applying SHAP to interpret the model's predictions and calculate the contribution of each cause to the prediction error. Numerical experiments with open data show that our method offers valuable insights for model improvement, confirming the effectiveness of our approach.",as machine learning applications expand in various industries  mlops  which enables continuous model operation and improvement  becomes increasingly significant  identifying causes of prediction errors  such as low model performance or anomalous samples  and implementing appropriate countermeasures are essential for effective mlops  furthermore  quantitatively evaluating each cause s impact is necessary to determine the effectiveness of countermeasures  in this study  we propose a method to quantitatively decompose a single sample s prediction error into contributions from multiple causes  our method involves four steps  calculating the prediction error  computing metrics related to error causes  using a regression model to learn the relationship between the error and metrics  and applying shap to interpret the model s predictions and calculate the contribution of each cause to the prediction error  numerical experiments with open data show that our method offers valuable insights for model improvement  confirming the effectiveness of our approach ,5.635143,5.936427,5,MLOps - Model Optimization - Reinforcement Learning - Quantum Algorithms - Neural Networks - Privacy-Preserving Techniques,Advanced Machine Learning Frameworks and Applications
"A Joint Study of the Challenges, Opportunities, and Roadmap of MLOps and AIOps: A Systematic Survey","Data science projects represent a greater challenge than software engineering for organizations pursuing their adoption. The diverse stakeholders involved emphasize the need for a collaborative culture in organizations. This article aims to offer joint insights into the role of MLOps and AIOps methodologies for raising the success of data science projects in various fields, ranging from pure research to more traditional industries. We analyze the open issues, opportunities, and future trends organizations face when implementing MLOps and AIOps. Then, the frameworks and architectures that promote these paradigms are presented, as are the different fields in which they are being utilized. This systematic review was conducted using an automated procedure that identified 44,903 records, which were filtered down to 93 studies. These articles are meant to better clarify the problem at hand and highlight the future areas in both research and industry in which MLOPs and AIOps are thriving. Our findings indicate that AIOps flourish in challenging circumstances like those presented by 5G and 6G technologies, whereas MLOps is more prevalent in traditional industrial environments. The use of AIOps in certain stages of the ML lifecycle, such as deployment, remains underrepresented in scientific literature.",data science projects represent a greater challenge than software engineering for organizations pursuing their adoption  the diverse stakeholders involved emphasize the need for a collaborative culture in organizations  this article aims to offer joint insights into the role of mlops and aiops methodologies for raising the success of data science projects in various fields  ranging from pure research to more traditional industries  we analyze the open issues  opportunities  and future trends organizations face when implementing mlops and aiops  then  the frameworks and architectures that promote these paradigms are presented  as are the different fields in which they are being utilized  this systematic review was conducted using an automated procedure that identified        records  which were filtered down to    studies  these articles are meant to better clarify the problem at hand and highlight the future areas in both research and industry in which mlops and aiops are thriving  our findings indicate that aiops flourish in challenging circumstances like those presented by  g and  g technologies  whereas mlops is more prevalent in traditional industrial environments  the use of aiops in certain stages of the ml lifecycle  such as deployment  remains underrepresented in scientific literature ,9.951305,4.401243,3,MLOps - Industry 4.0 - Machine Learning Operations - Continuous Deployment - AI in Manufacturing - Adoption Challenges,Challenges and Applications of MLOps in Industry
