Source,Title,Year,# Citations,Authors,Journal,Type,Abstract,PDF,BibTex,DOI,Published,Matched_title
ACM,Fundamental requirements of a machine learning operations platform for industrial metal additive manufacturing,2024,0,"Mutahar Safdar, Padma Polash Paul, Guy Lamouche, Gentry Wood, Max Zimmermann, Florian Hannesen, Christophe Bescond, Priti Wanjara, Yaoyao Fiona Zhao","Computers in Industry (CIIN), Volume 154, Issue C",research-article,"AbstractMetal-based Additive Manufacturing (AM) can realize fully dense metallic components and thus offers an opportunity to compete with conventional manufacturing based on the unique merits possible through layer-by-layer processing. Unsurprisingly, Machine Learning (ML) applications in AM technologies have been increasingly growing in the past several years. The trend is driven by the ability of data-driven techniques to support a range of AM concerns, including in-process monitoring and predictions. However, despite numerous ML applications being reported for different AM concerns, no framework exists to systematically manage these ML models for AM operations in the industry. Moreover, no guidance exists on fundamental requirements to realize such a cross-disciplinary platform. Working with experts in ML and AM, this work identifies the fundamental requirements to realize a Machine Learning Operations (MLOps) platform to support process-based ML models for industrial metal AM (MAM). Project-level activities are identified in terms of functional roles, processes, systems, operations, and interfaces. These components are discussed in detail and are linked with their respective requirements. In this regard, peer-reviewed references to identified requirements are made available. The requirements identified can help guide small and medium enterprises looking to implement ML solutions for AM in the industry. Challenges and opportunities for such a system are highlighted. The system can be expanded to include other lifecycle phases of metallic and non-metallic AM.Highlights •Connecting the status of ML-driven AM research and applications to the development of a platform for industrial deployment.•Identifying AM and ML requirements to develop an MLOps platform for industry.•Detailing functional roles, processes, systems, operations, and interfaces as fundamental components of the MLOps platform.•Bridging the knowledge gap and expertise between the domains of AM and ML to realize the cross-discipline platform.•Referencing peer-reviewed AM and ML research in support of the identified requirements.",,"@article{10.1016/j.compind.2023.104037,
author = {Safdar, Mutahar and Paul, Padma Polash and Lamouche, Guy and Wood, Gentry and Zimmermann, Max and Hannesen, Florian and Bescond, Christophe and Wanjara, Priti and Zhao, Yaoyao Fiona},
title = {Fundamental requirements of a machine learning operations platform for industrial metal additive manufacturing},
year = {2024},
issue_date = {Jan 2024},
publisher = {Elsevier Science Publishers B. V.},
address = {NLD},
volume = {154},
number = {C},
issn = {0166-3615},
url = {https://doi.org/10.1016/j.compind.2023.104037},
doi = {10.1016/j.compind.2023.104037},
journal = {Comput. Ind.},
month = {feb},
numpages = {22},
keywords = {Computing infrastructure, Data analytics and machine learning, Machine learning operations platform, Fundamental and functional requirements, Industrial additive manufacturing}
}",10.1016/j.compind.2023.104037,No,
ACM,LinkEdge: Open-sourced MLOps Integration with IoT Edge,2023,0,"Ella Peltonen, Savidu Dias","ESAAM '23: Proceedings of the 3rd Eclipse Security, AI, Architecture and Modelling Conference on Cloud to Edge Continuum",short-paper,"MLOps, or Machine Learning Operations, play a significant role in streamlining production deployment, monitoring, and management of machine learning models. Integrating MLOps with edge devices poses unique challenges that require customised deployment strategies and efficient model optimisation techniques. This paper introduces LinkEdge, a set of tools that enable the integration of MLOps practices with edge devices. LinkEdge consists of two sets of tools: one for setting up infrastructure within edge devices to be able to receive, monitor, and run inference on ML models and another for MLOps pipelines to package models to be compatible with the inference and monitoring components of the respective edge devices. The LinkEdge platform is evaluated by obtaining a public dataset for predicting the breakdown of Air Pressure Systems in trucks. Additionally, the platform is compared against a commercial tool that serves similar purposes. The overall performance of LinkEdge matches that of already existing tools and services while allowing end users setting up Edge-MLOps infrastructure the complete freedom to set up their system without entirely relying on third-party licensed software.",https://dl.acm.org/doi/pdf/10.1145/3624486.3624496,"@inproceedings{10.1145/3624486.3624496,
author = {Peltonen, Ella and Dias, Savidu},
title = {LinkEdge: Open-sourced MLOps Integration with IoT Edge},
year = {2023},
isbn = {9798400708350},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3624486.3624496},
doi = {10.1145/3624486.3624496},
abstract = {MLOps, or Machine Learning Operations, play a significant role in streamlining production deployment, monitoring, and management of machine learning models. Integrating MLOps with edge devices poses unique challenges that require customised deployment strategies and efficient model optimisation techniques. This paper introduces LinkEdge, a set of tools that enable the integration of MLOps practices with edge devices. LinkEdge consists of two sets of tools: one for setting up infrastructure within edge devices to be able to receive, monitor, and run inference on ML models and another for MLOps pipelines to package models to be compatible with the inference and monitoring components of the respective edge devices. The LinkEdge platform is evaluated by obtaining a public dataset for predicting the breakdown of Air Pressure Systems in trucks. Additionally, the platform is compared against a commercial tool that serves similar purposes. The overall performance of LinkEdge matches that of already existing tools and services while allowing end users setting up Edge-MLOps infrastructure the complete freedom to set up their system without entirely relying on third-party licensed software.},
booktitle = {Proceedings of the 3rd Eclipse Security, AI, Architecture and Modelling Conference on Cloud to Edge Continuum},
pages = {67–76},
numpages = {10},
keywords = {Performance Monitoring, MLOps, Edge Computing},
location = {<conf-loc>, <city>Ludwigsburg</city>, <country>Germany</country>, </conf-loc>},
series = {ESAAM '23}
}",10.1145/3624486.3624496,No,
ACM,MLOps Automation – Developing a RESTful API for Text Based Emotion Detection,2022,0,"Yusuf Omeiza Ahmed, Marko Manyang Monydit, Abhilasha Sharma",IC3-2022: Proceedings of the 2022 Fourteenth International Conference on Contemporary Computing,research-article,"Identifying the emotional state of a person or group of people by analyzing their written works often appears to be challenging but also important. In many situations, we see that emotions from textual expressions cannot be detected directly using emotional words alone but also results from the evaluation of the conceptual meaning and interactions which are expressed in a written article. A person's emotion may be revealed by their facial expression, speech, or text. In todays’ world we have seen that efforts have been made in identifying emotion from speech and facial expressions, but the aspect of text-based emotion detection is still lagging. The detection of human emotions from text is becoming progressively important from an applicative perspective. The paper proposed an algorithm for detecting emotions from text using logistic regression. The authors have developed a RESTful API to serve as a mediator between a client device and the trained model by adopting the principles of Machine Learning Operations (MLOps).",,"@inproceedings{10.1145/3549206.3549317,
author = {Ahmed, Yusuf Omeiza and Monydit, Marko Manyang and Sharma, Abhilasha},
title = {MLOps Automation – Developing a RESTful API for Text Based Emotion Detection},
year = {2022},
isbn = {9781450396752},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3549206.3549317},
doi = {10.1145/3549206.3549317},
abstract = {Identifying the emotional state of a person or group of people by analyzing their written works often appears to be challenging but also important. In many situations, we see that emotions from textual expressions cannot be detected directly using emotional words alone but also results from the evaluation of the conceptual meaning and interactions which are expressed in a written article. A person's emotion may be revealed by their facial expression, speech, or text. In todays’ world we have seen that efforts have been made in identifying emotion from speech and facial expressions, but the aspect of text-based emotion detection is still lagging. The detection of human emotions from text is becoming progressively important from an applicative perspective. The paper proposed an algorithm for detecting emotions from text using logistic regression. The authors have developed a RESTful API to serve as a mediator between a client device and the trained model by adopting the principles of Machine Learning Operations (MLOps).},
booktitle = {Proceedings of the 2022 Fourteenth International Conference on Contemporary Computing},
pages = {666–672},
numpages = {7},
keywords = {RESTful APIs, MLOPs, Logistic Regression, Emotion Detection},
location = {Noida, India},
series = {IC3-2022}
}",10.1145/3549206.3549317,No,
ACM,MLOps: five steps to guide its effective implementation,2022,1,"Beatriz M. A. Matsui, Denise H. Goya",CAIN '22: Proceedings of the 1st International Conference on AI Engineering: Software Engineering for AI,short-paper,"DevOps practices have increasingly been applied to software development and engineering, as well as the machine learning lifecycle - in a process also known as MLOps. Today, many companies and professionals have been working and writing on this topic. However, in the academic and scientific literature, few results can be found on MLOps and how to implement it efficiently. This paper presents five essential steps to guide the understanding and practice of MLOps, which, based on the authors' research and experience, can assist in its effective implementation. The study aims to serve as a reference guide for all those who wish to learn more about the topic and intend to implement MLOps practices in the development of their systems.",,"@inproceedings{10.1145/3522664.3528611,
author = {Matsui, Beatriz M. A. and Goya, Denise H.},
title = {MLOps: five steps to guide its effective implementation},
year = {2022},
isbn = {9781450392754},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3522664.3528611},
doi = {10.1145/3522664.3528611},
abstract = {DevOps practices have increasingly been applied to software development and engineering, as well as the machine learning lifecycle - in a process also known as MLOps. Today, many companies and professionals have been working and writing on this topic. However, in the academic and scientific literature, few results can be found on MLOps and how to implement it efficiently. This paper presents five essential steps to guide the understanding and practice of MLOps, which, based on the authors' research and experience, can assist in its effective implementation. The study aims to serve as a reference guide for all those who wish to learn more about the topic and intend to implement MLOps practices in the development of their systems.},
booktitle = {Proceedings of the 1st International Conference on AI Engineering: Software Engineering for AI},
pages = {33–34},
numpages = {2},
keywords = {model, machine learning, development, MLOps, DevOps},
location = {Pittsburgh, Pennsylvania},
series = {CAIN '22}
}",10.1145/3522664.3528611,No,
ACM,MLOps Challenges in Industry 4.0,2023,0,"Leonhard Faubel, Klaus Schmid, Holger Eichelberger","SN Computer Science (SNCS), Volume 4, Issue 6",research-article,"AbstractAn important part of the Industry 4.0 vision is the use of machine learning (ML) techniques to create novel capabilities and flexibility in industrial production processes. Currently, there is a strong emphasis on MLOps as an enabling collection of practices, techniques, and tools to integrate ML into industrial practice. However, while MLOps is often discussed in the context of pure software systems, Industry 4.0 systems received much less attention. So far, there is only little research focusing on MLOps for Industry 4.0. In this paper, we discuss whether MLOps in Industry 4.0 leads to significantly different challenges compared to typical Internet systems. We provide an initial analysis of MLOps approaches and identify both context-independent MLOps challenges (general challenges) as well as challenges particular to Industry 4.0 (specific challenges) and conclude that MLOps works very similarly in Industry 4.0 systems to pure software systems. This indicates that existing tools and approaches are also mostly suited for the Industry 4.0 context.",,"@article{10.1007/s42979-023-02282-2,
author = {Faubel, Leonhard and Schmid, Klaus and Eichelberger, Holger},
title = {MLOps Challenges in Industry 4.0},
year = {2023},
issue_date = {Oct 2023},
publisher = {Springer-Verlag},
address = {Berlin, Heidelberg},
volume = {4},
number = {6},
url = {https://doi.org/10.1007/s42979-023-02282-2},
doi = {10.1007/s42979-023-02282-2},
abstract = {An important part of the Industry&nbsp;4.0 vision is the use of machine learning (ML) techniques to create novel capabilities and flexibility in industrial production processes. Currently, there is a strong emphasis on MLOps as an enabling collection of practices, techniques, and tools to integrate ML into industrial practice. However, while MLOps is often discussed in the context of pure software systems, Industry 4.0 systems received much less attention. So far, there is only little research focusing on MLOps for Industry&nbsp;4.0. In this paper, we discuss whether MLOps in Industry&nbsp;4.0 leads to significantly different challenges compared to typical Internet systems. We provide an initial analysis of MLOps approaches and identify both context-independent MLOps challenges (general challenges) as well as challenges particular to Industry 4.0 (specific challenges) and conclude that MLOps works very similarly in Industry&nbsp;4.0 systems to pure software systems. This indicates that existing tools and approaches are also mostly suited for the Industry&nbsp;4.0 context.},
journal = {SN Comput. Sci.},
month = {oct},
numpages = {11},
keywords = {Challenges, Industry 4.0, Machine learning, MLOps}
}",10.1007/s42979-023-02282-2,No,
ACM,MLOps Pipeline Development: The OSSARA Use Case,2023,0,"Sergio Moreschini, David Hästbacka, Davide Taibi",RACS '23: Proceedings of the 2023 International Conference on Research in Adaptive and Convergent Systems,research-article,"Software development based on MLOps practices is entering its early adoption stage. As for it, practitioners and researchers are starting to develop pipelines composed of tools capable of automating the whole software lifecycle. The development of the pipeline however is not as straightforward as it looks and some key points need to be addressed. In this work, we propose our vision for the development of the MLOps pipeline by showing what to keep into account when choosing the tools for each step of a pipeline. The proposition has been backed up by describing a developed use case scenario: the OSSARA use case. We believe that the presented use case, as well as the remarks presented for the process of tool selection for each MLOps phase, will help practitioners and researchers in the process of developing their own pipelines.",https://dl.acm.org/doi/pdf/10.1145/3599957.3606211,"@inproceedings{10.1145/3599957.3606211,
author = {Moreschini, Sergio and H\""{a}stbacka, David and Taibi, Davide},
title = {MLOps Pipeline Development: The OSSARA Use Case},
year = {2023},
isbn = {9798400702280},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3599957.3606211},
doi = {10.1145/3599957.3606211},
abstract = {Software development based on MLOps practices is entering its early adoption stage. As for it, practitioners and researchers are starting to develop pipelines composed of tools capable of automating the whole software lifecycle. The development of the pipeline however is not as straightforward as it looks and some key points need to be addressed. In this work, we propose our vision for the development of the MLOps pipeline by showing what to keep into account when choosing the tools for each step of a pipeline. The proposition has been backed up by describing a developed use case scenario: the OSSARA use case. We believe that the presented use case, as well as the remarks presented for the process of tool selection for each MLOps phase, will help practitioners and researchers in the process of developing their own pipelines.},
booktitle = {Proceedings of the 2023 International Conference on Research in Adaptive and Convergent Systems},
articleno = {31},
numpages = {8},
keywords = {MLOps, Machine Learning, pipelines},
location = {Gdansk, Poland},
series = {RACS '23}
}",10.1145/3599957.3606211,No,
ACM,MLOps: a guide to its adoption in the context of responsible AI,2023,1,"Beatriz M. A. Matsui, Denise H. Goya",SE4RAI '22: Proceedings of the 1st Workshop on Software Engineering for Responsible AI,research-article,"DevOps practices have increasingly been applied to software development as well as the machine learning lifecycle, in a process known as MLOps. Currently, many professionals have written about this topic, but still few results can be found in the academic and scientific literature on MLOps and how to to implement it effectively. Considering aspects of responsible AI, this number is even lower, opening up a field of research with many possibilities. This article presents five steps to guide the understanding and adoption of MLOps in the context of responsible AI. The study aims to serve as a reference guide for all those who wish to learn more about the topic and intend to implement MLOps practices to develop their systems, following responsible AI principles.",,"@inproceedings{10.1145/3526073.3527591,
author = {Matsui, Beatriz M. A. and Goya, Denise H.},
title = {MLOps: a guide to its adoption in the context of responsible AI},
year = {2023},
isbn = {9781450393195},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3526073.3527591},
doi = {10.1145/3526073.3527591},
abstract = {DevOps practices have increasingly been applied to software development as well as the machine learning lifecycle, in a process known as MLOps. Currently, many professionals have written about this topic, but still few results can be found in the academic and scientific literature on MLOps and how to to implement it effectively. Considering aspects of responsible AI, this number is even lower, opening up a field of research with many possibilities. This article presents five steps to guide the understanding and adoption of MLOps in the context of responsible AI. The study aims to serve as a reference guide for all those who wish to learn more about the topic and intend to implement MLOps practices to develop their systems, following responsible AI principles.},
booktitle = {Proceedings of the 1st Workshop on Software Engineering for Responsible AI},
pages = {45–49},
numpages = {5},
keywords = {DevOps, MLOps, development, machine learning, model, responsible AI},
location = {Pittsburgh, Pennsylvania},
series = {SE4RAI '22}
}",10.1145/3526073.3527591,No,
ACM,MLOps in freight rail operations,2023,0,"Juan Pineda-Jaramillo, Francesco Viti","Engineering Applications of Artificial Intelligence (EAAI), Volume 123, Issue PA",research-article,"AbstractRailways are essential for freight transport due to their operational reliability advantages, but maintaining this advantage requires optimised railway infrastructure. Previous research has developed models to predict freight rail disruptions/disturbances and their associated delay times, in order to better understand the impact of multiple factors on them. However, because these models are built on static datasets, extracting real value from a model in a production environment remains difficult.This paper presents a methodology that demonstrates the potential of MLOps in automating the entire workflow, from data extraction to model deployment for real-time delay predictions in freight rail operations, including good practices of Continuous-Integration, Continuous-Delivery, and Continuous-Training, as well as a tool list for each process.Our research advances the field of railway operations by developing an entire MLOps workflow using data from the freight rail operations of the Luxembourgish National Freight Railway Company over a seventeen-month period. Furthermore, we employed a LightGBM model that had previously performed well in another study. This workflow can be automatically triggered to develop the processes and thus maintain an ML model capable of predicting delay times for CFL Multimodal operations in real-time.Our findings demonstrate that MLOps have the potential to automate the entire process, opening up new avenues for future research in this field. Although the methodology presented is intended to optimise freight rail operations for a specific company, it can be easily transferable to other railway companies or other transportation industries, such as aviation, shipping, and trucking.",,"@article{10.1016/j.engappai.2023.106222,
author = {Pineda-Jaramillo, Juan and Viti, Francesco},
title = {MLOps in freight rail operations},
year = {2023},
issue_date = {Aug 2023},
publisher = {Pergamon Press, Inc.},
address = {USA},
volume = {123},
number = {PA},
issn = {0952-1976},
url = {https://doi.org/10.1016/j.engappai.2023.106222},
doi = {10.1016/j.engappai.2023.106222},
journal = {Eng. Appl. Artif. Intell.},
month = {aug},
numpages = {11},
keywords = {Freight rail operations, Machine learning, MLOps, CI/CD/CT, Apache airflow, ML deployment}
}",10.1016/j.engappai.2023.106222,Yes,engineering applications of artificial intelligence
ACM,Applications of MLOps in the Cognitive Cloud Continuum,2022,0,Sergio Moreschini,Product-Focused Software Process Improvement,Article,"AbstractBackground. Since the rise of Machine Learning, the automation of software development has been a desired feature. MLOps is targeted to have the same impact on software development as DevOps had in the last decade.Objectives. The goal of the research is threefold: (RQ1) to analyze which MLOps tools and platforms can be used in the Cognitive Cloud Continuum, (RQ2) to investigate which combination of such tools and platforms is more beneficial, and (RQ3) to define how to distribute MLOps to nodes across the Cognitive Cloud Continuum.Methods. The work can be divided into three main blocks: analysis, proposal and identification, and application. The first part builds the foundations of the work, the second proposes a vision on the evolution of MLOps then identifies the key concepts while the third validates the previous steps through practical applications.Contribution. The thesis’s contribution is a set of MLOps pipelines that practitioners could adopt in different contexts and a practical implementation of an MLOps system in the Cognitive Cloud Continuum.",,"@inproceedings{10.1007/978-3-031-21388-5_51,
author = {Moreschini, Sergio},
title = {Applications of&nbsp;MLOps in&nbsp;the&nbsp;Cognitive Cloud Continuum},
year = {2022},
isbn = {978-3-031-21387-8},
publisher = {Springer-Verlag},
address = {Berlin, Heidelberg},
url = {https://doi.org/10.1007/978-3-031-21388-5_51},
doi = {10.1007/978-3-031-21388-5_51},
abstract = {Background. Since the rise of Machine Learning, the automation of software development has been a desired feature. MLOps is targeted to have the same impact on software development as DevOps had in the last decade.Objectives. The goal of the research is threefold: (RQ1) to analyze which MLOps tools and platforms can be used in the Cognitive Cloud Continuum, (RQ2) to investigate which combination of such tools and platforms is more beneficial, and (RQ3) to define how to distribute MLOps to nodes across the Cognitive Cloud Continuum.Methods. The work can be divided into three main blocks: analysis, proposal and identification, and application. The first part builds the foundations of the work, the second proposes a vision on the evolution of MLOps then identifies the key concepts while the third validates the previous steps through practical applications.Contribution. The thesis’s contribution is a set of MLOps pipelines that practitioners could adopt in different contexts and a practical implementation of an MLOps system in the Cognitive Cloud Continuum.},
booktitle = {Product-Focused Software Process Improvement: 23rd International Conference, PROFES 2022, Jyv\""{a}skyl\""{a}, Finland, November 21–23, 2022, Proceedings},
pages = {650–655},
numpages = {6},
keywords = {Software engineering, Machine learning, Mlops},
location = {Jyv\""{a}skyl\""{a}, Finland}
}",10.1007/978-3-031-21388-5_51,Yes,product focused software process improvement
ACM,SensiX++: Bringing MLOps and Multi-tenant Model Serving to Sensory Edge Devices,2023,0,"Chulhong Min, Akhil Mathur, Utku Günay Acer, Alessandro Montanari, Fahim Kawsar","ACM Transactions on Embedded Computing Systems (TECS), Volume 22, Issue 6",research-article,"We present SensiX++, a multi-tenant runtime for adaptive model execution with integrated MLOps on edge devices, e.g., a camera, a microphone, or IoT sensors. SensiX++ operates on two fundamental principles: highly modular componentisation to externalise data operations with clear abstractions and document-centric manifestation for system-wide orchestration. First, a data coordinator manages the lifecycle of sensors and serves models with correct data through automated transformations. Next, a resource-aware model server executes multiple models in isolation through model abstraction, pipeline automation, and feature sharing. An adaptive scheduler then orchestrates the best-effort executions of multiple models across heterogeneous accelerators, balancing latency and throughput. Finally, microservices with REST APIs serve synthesised model predictions, system statistics, and continuous deployment. Collectively, these components enable SensiX++ to serve multiple models efficiently with fine-grained control on edge devices while minimising data operation redundancy, managing data and device heterogeneity, and reducing resource contention. We benchmark SensiX++ with 10 different vision and acoustics models across various multi-tenant configurations on different edge accelerators (Jetson AGX and Coral TPU) designed for sensory devices. We report on the overall throughput and quantified benefits of various automation components of SensiX++ and demonstrate its efficacy in significantly reducing operational complexity and lowering the effort to deploy, upgrade, reconfigure, and serve embedded models on edge devices.",,"@article{10.1145/3617507,
author = {Min, Chulhong and Mathur, Akhil and Acer, Utku G\""{u}nay and Montanari, Alessandro and Kawsar, Fahim},
title = {SensiX++: Bringing MLOps and Multi-tenant Model Serving to Sensory Edge Devices},
year = {2023},
issue_date = {November 2023},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
volume = {22},
number = {6},
issn = {1539-9087},
url = {https://doi.org/10.1145/3617507},
doi = {10.1145/3617507},
abstract = {We present SensiX++, a multi-tenant runtime for adaptive model execution with integrated MLOps on edge devices, e.g., a camera, a microphone, or IoT sensors. SensiX++ operates on two fundamental principles: highly modular componentisation to externalise data operations with clear abstractions and document-centric manifestation for system-wide orchestration. First, a data coordinator manages the lifecycle of sensors and serves models with correct data through automated transformations. Next, a resource-aware model server executes multiple models in isolation through model abstraction, pipeline automation, and feature sharing. An adaptive scheduler then orchestrates the best-effort executions of multiple models across heterogeneous accelerators, balancing latency and throughput. Finally, microservices with REST APIs serve synthesised model predictions, system statistics, and continuous deployment. Collectively, these components enable SensiX++ to serve multiple models efficiently with fine-grained control on edge devices while minimising data operation redundancy, managing data and device heterogeneity, and reducing resource contention. We benchmark SensiX++ with 10 different vision and acoustics models across various multi-tenant configurations on different edge accelerators (Jetson AGX and Coral TPU) designed for sensory devices. We report on the overall throughput and quantified benefits of various automation components of SensiX++ and demonstrate its efficacy in significantly reducing operational complexity and lowering the effort to deploy, upgrade, reconfigure, and serve embedded models on edge devices.},
journal = {ACM Trans. Embed. Comput. Syst.},
month = {nov},
articleno = {98},
numpages = {27},
keywords = {MLOps, multi-tenancy, model serving, edge}
}",10.1145/3617507,Yes,acm transactions on embedded computing systems
